Acrylic Boxes,1087x1087		 
Acrylic Trays Portrait,3375x4368
Acrylic Trays Landscape,4368x3375	 	 
All Over Graphic T-Shirts,8700x7050
Android Cases,1300x2000
Apple Watch Bands,364x2933 		 
Art Prints,4000x5000		 
Art Prints Framed,4000x5000		 
Art Prints Recessed Framed,4000x5000		 
Backpacks,3900x4575
Bar Stools,3300x3300		 
Bath Mats,2592x1656		 
Beach Towels,3700x7400	 
Benches,8175x3675		 
Biker Tanks,3300x5100		 
Blackout Curtains,5300x9900		 
Can Coolers,3084x1276	
Canvas Prints,4000x5000 	
Canvas Prints Framed 8x12,2400x3600
Canvas Prints Framed 10x10,3000x3000
Canvas Prints Framed 12x18,3600x5400
Canvas Prints Framed 20x20,6000x6000
Canvas Prints Framed 16x24,4800x7200
Canvas Prints Framed 24x36,7200x10800
Canvas Prints Framed 30x30,9000x9000
Card Cases Android,1300x2000		 
Card Cases iPhone,1300x2000	 
Carry-All Pouches,4600x3000		 
Clear Cases,979x1917	 
Coasters,2400x2400	 
Coffee Mugs,4600x2000	 
Coffee Tables,5362x2662	 
Comforters,6000x6000	 
Counter Stools,3300x3300
Credenzas,5325x3300	
Crewneck Sweatshirts,3300x5100
Cutting Boards Rectangle,2500x1575
cutting board Round,2500x2500
Duffle Bags,14579x5700
Duvet Covers,6000x6000
Face Masks,1245x1170
Fanny Packs,2700x1800
Floating Acrylic Prints,5118x6825 
Floor Pillows,4500x4500
Folding Stool,2250x2700
Framed Mini Art Prints Square,1238x1238
Framed Mini Art Prints Portrait,938x1238
Framed Mini Art Prints Landscape,1238x938 
Hand & Bath Towels,3700x7400	 
Hoodies,3300x5100		 
iPad Folio Cases,5624x3473		 
iPhone Cases,1300x2000		 
iPhone Skins,1300x2000		 
Jigsaw Puzzles,5925x7425
Laptop Skins,4600x3000		 
Laptop Sleeves,4600x3000		 
Leggings,7500x9000		 
Long Sleeve Tees,3300x5100		  
Travel Mugs,2795x2100		 
Mini Art Prints	Portrait,938x1238
Mini Art Prints Landscape,1238x938
Mini Art Prints Square,1238x1238		 
Notebooks,3675x2475		 
Outdoor Floor Cushions,5600x4300
Picnic Blankets,9300x7750	 
Pillow Shams,6105x3500		 
Placemats,2400x3000
Posters,2718x3618		 
Rectangular Pillows,4600x3000		 
Rugs Landscape,7400x5000
Rugs Portrait,5000x7400		 
Serving Trays Landscape,3319x2569
Serving Trays Portrait,2569x3319		 
Sheer Curtains,5300x9900		 
Shower Curtains,6000x6000		 
Side Tables,2850x2850		 
Sling Chairs,2550x7800
Socks,14172x3000
Stationery Cards,1300x2000		 
Stickers,1800x1800 		 
Sun Shades,8604x5148
T-Shirts,3300x5100		 
Tank Tops,3300x5100		 
Throw Blankets,6500x5525		 
Throw Pillows,3500x3500		 
Tote Bags,3500x3500		 
V-Necks,3300x5100		 
Wall Clocks,3500x3500		 
Wallet Cases Android,2191x2097		 
Wallet Cases iPhone,2274x2002		 
Wall Hangings Landscape,7800x5678
Wall Hangings Portrait,4058x5678		 
Wall Murals	Square,6000x6000
Wall Murals	Landscape,9000x6000		 
Wall Tapestries	Landscape,6500x5525
Wall Tapestries	Portrait5525x6500		 
Wallpaper,3600x3600		 
Water Bottles,3390x2230
Welcome Mats,5700x3800	  
Wrapping Paper,6075x8775		 
Yoga Mats,3750x10650	 
Yoga Towels,3750x10650

 